month,day,hora,estacion,cantidadpasos
1,8,17,ILL,4693
1,8,18,ALB,972
1,8,18,AVE,9121
1,8,18,DEL,5029
1,8,18,ILL,4759
1,8,19,ALB,724
1,8,19,AVE,7591
1,8,19,DEL,4336
1,8,19,ILL,3868
1,8,20,ALB,607
1,8,20,AVE,6533
1,8,20,DEL,3801
1,8,20,ILL,2797
1,8,21,ALB,465
1,8,21,AVE,5169
1,8,21,DEL,3285
1,8,21,ILL,1979
1,8,22,ALB,337
1,8,22,AVE,3403
1,8,22,DEL,2407
1,8,22,ILL,1328
1,8,23,ALB,166
1,8,23,AVE,2468
1,8,23,DEL,1586
1,8,23,ILL,1068
1,9,0,ALB,114
1,9,0,AVE,2197
1,9,0,DEL,1359
1,9,0,ILL,883
1,9,1,ALB,100
1,9,1,AVE,1268
1,9,1,DEL,975
1,9,1,ILL,601
1,9,2,ALB,50
1,9,2,AVE,825
1,9,2,DEL,620
1,9,2,ILL,364
1,9,3,ALB,25
1,9,3,AVE,656
1,9,3,DEL,607
1,9,3,ILL,299
1,9,4,ALB,30
1,9,4,AVE,917
1,9,4,DEL,877
1,9,4,ILL,434
1,9,5,ALB,154
1,9,5,AVE,2387
1,9,5,DEL,1872
1,9,5,ILL,907
1,9,6,ALB,412
1,9,6,AVE,5468
1,9,6,DEL,3419
1,9,6,ILL,2511
1,9,7,ALB,918
1,9,7,AVE,7539
1,9,7,DEL,4829
1,9,7,ILL,5119
1,9,8,ALB,1249
1,9,8,AVE,8095
1,9,8,DEL,6084
1,9,8,ILL,5997
1,9,9,ALB,1167
1,9,9,AVE,7805
1,9,9,DEL,5530
1,9,9,ILL,5530
1,9,10,ALB,935
1,9,10,AVE,7522
1,9,10,DEL,5383
1,9,10,ILL,4646
1,9,11,ALB,913
1,9,11,AVE,7948
1,9,11,DEL,5426
1,9,11,ILL,4335
1,9,12,ALB,921
1,9,12,AVE,8413
1,9,12,DEL,5088
1,9,12,ILL,4213
1,9,13,ALB,966
1,9,13,AVE,8611
1,9,13,DEL,5101
1,9,13,ILL,4035
1,9,14,ALB,897
1,9,14,AVE,8697
1,9,14,DEL,5252
1,9,14,ILL,3917
1,9,15,ALB,976
1,9,15,AVE,9233
1,9,15,DEL,5089
1,9,15,ILL,3975
1,9,16,ALB,943
1,9,16,AVE,9435
1,9,16,DEL,4873
1,9,16,ILL,4305
1,9,17,ALB,916
1,9,17,AVE,9519
1,9,17,DEL,5295
1,9,17,ILL,4834
1,9,18,ALB,833
1,9,18,AVE,8764
1,9,18,DEL,4757
1,9,18,ILL,5149
1,9,19,ALB,679
1,9,19,AVE,7586
1,9,19,DEL,4226
1,9,19,ILL,3597
1,9,20,ALB,680
1,9,20,AVE,6758
1,9,20,DEL,4044
1,9,20,ILL,2711
1,9,21,ALB,518
1,9,21,AVE,5310
1,9,21,DEL,3234
1,9,21,ILL,1861
1,9,22,ALB,351
1,9,22,AVE,3473
1,9,22,DEL,2167
1,9,22,ILL,1340
1,9,23,ALB,207
1,9,23,AVE,2596
1,9,23,DEL,1565
1,9,23,ILL,1087
1,10,0,ALB,136
1,10,0,AVE,1961
1,10,0,DEL,1205
1,10,0,ILL,790
1,10,1,ALB,86
1,10,1,AVE,1279
1,10,1,DEL,899
1,10,1,ILL,482
1,10,2,ALB,46
1,10,2,AVE,800
1,10,2,DEL,718
1,10,2,ILL,359
1,10,3,ALB,31
1,10,3,AVE,647
1,10,3,DEL,715
1,10,3,ILL,333
1,10,4,ALB,43
1,10,4,AVE,1015
1,10,4,DEL,935
1,10,4,ILL,437
1,10,5,ALB,148
1,10,5,AVE,2522
1,10,5,DEL,1915
1,10,5,ILL,1027
1,10,6,ALB,418
1,10,6,AVE,5550
1,10,6,DEL,3523
1,10,6,ILL,2442
1,10,7,ALB,901
1,10,7,AVE,7555
1,10,7,DEL,4834
1,10,7,ILL,4855
1,10,8,ALB,1157
1,10,8,AVE,7843
1,10,8,DEL,5954
1,10,8,ILL,5976
1,10,9,ALB,1108
1,10,9,AVE,7841
1,10,9,DEL,5772
1,10,9,ILL,5358
1,10,10,ALB,1035
1,10,10,AVE,8246
1,10,10,DEL,5576
1,10,10,ILL,4604
1,10,11,ALB,933
1,10,11,AVE,8714
1,10,11,DEL,5549
1,10,11,ILL,4397
1,10,12,ALB,941
1,10,12,AVE,8666
1,10,12,DEL,5298
1,10,12,ILL,4247
1,10,13,ALB,911
1,10,13,AVE,8918
1,10,13,DEL,5421
1,10,13,ILL,4251
1,10,14,ALB,911
1,10,14,AVE,9243
1,10,14,DEL,5656
1,10,14,ILL,4277
1,10,15,ALB,951
1,10,15,AVE,9724
1,10,15,DEL,5811
1,10,15,ILL,4483
1,10,16,ALB,1051
1,10,16,AVE,10002
1,10,16,DEL,5512
1,10,16,ILL,4695
1,10,17,ALB,995
1,10,17,AVE,9943
1,10,17,DEL,5699
1,10,17,ILL,4855
1,10,18,ALB,1055
1,10,18,AVE,9374
1,10,18,DEL,3319
1,10,18,ILL,5054
1,10,19,ALB,1097
1,10,19,AVE,8902
1,10,19,DEL,4065
1,10,19,ILL,3577
1,10,20,ALB,779
1,10,20,AVE,7711
1,10,20,DEL,4505
1,10,20,ILL,3029
1,10,21,ALB,628
1,10,21,AVE,6519
1,10,21,DEL,4204
1,10,21,ILL,2401
1,10,22,ALB,427
1,10,22,AVE,4285
1,10,22,DEL,2942
1,10,22,ILL,1615
1,10,23,ALB,236
1,10,23,AVE,3106
1,10,23,DEL,1992
1,10,23,ILL,1324
1,11,0,ALB,227
1,11,0,AVE,2806
1,11,0,DEL,1751
1,11,0,ILL,1145
1,11,1,ALB,197
1,11,1,AVE,2552
1,11,1,DEL,1559
1,11,1,ILL,959
1,11,2,ALB,128
1,11,2,AVE,1725
1,11,2,DEL,1113
1,11,2,ILL,692
1,11,3,ALB,80
1,11,3,AVE,1375
1,11,3,DEL,1024
1,11,3,ILL,583
1,11,4,ALB,102
1,11,4,AVE,1564
1,11,4,DEL,1217
1,11,4,ILL,686
1,11,5,ALB,202
1,11,5,AVE,2648
1,11,5,DEL,1838
1,11,5,ILL,1100
1,11,6,ALB,285
1,11,6,AVE,3531
1,11,6,DEL,2497
1,11,6,ILL,1503
1,11,7,ALB,484
1,11,7,AVE,4370
1,11,7,DEL,2999
1,11,7,ILL,1753
1,11,8,ALB,652
1,11,8,AVE,5135
1,11,8,DEL,3296
1,11,8,ILL,2034
1,11,9,ALB,675
1,11,9,AVE,5768
1,11,9,DEL,3613
1,11,9,ILL,2318
1,11,10,ALB,731
1,11,10,AVE,6452
1,11,10,DEL,4213
1,11,10,ILL,2415
1,11,11,ALB,727
1,11,11,AVE,6809
1,11,11,DEL,4564
1,11,11,ILL,2639
1,11,12,ALB,678
1,11,12,AVE,6943
1,11,12,DEL,4464
1,11,12,ILL,2789
1,11,13,ALB,691
1,11,13,AVE,6673
1,11,13,DEL,4222
1,11,13,ILL,2697
1,11,14,ALB,560
1,11,14,AVE,5612
1,11,14,DEL,3729
1,11,14,ILL,2284
1,11,15,ALB,583
1,11,15,AVE,5388
1,11,15,DEL,3483
1,11,15,ILL,2245
1,11,16,ALB,515
1,11,16,AVE,5455
1,11,16,DEL,3294
1,11,16,ILL,2306
1,11,17,ALB,536
1,11,17,AVE,5310
1,11,17,DEL,3280
1,11,17,ILL,2236
1,11,18,ALB,509
1,11,18,AVE,5374
1,11,18,DEL,3544
1,11,18,ILL,2272
1,11,19,ALB,582
1,11,19,AVE,6066
1,11,19,DEL,3636
1,11,19,ILL,2494
1,11,20,ALB,679
1,11,20,AVE,6807
1,11,20,DEL,4195
1,11,20,ILL,2853
1,11,21,ALB,699
1,11,21,AVE,6715
1,11,21,DEL,4107
1,11,21,ILL,2508
1,11,22,ALB,410
1,11,22,AVE,4587
1,11,22,DEL,3036
1,11,22,ILL,1665
1,11,23,ALB,257
1,11,23,AVE,3220
1,11,23,DEL,1889
1,11,23,ILL,1295
1,12,0,ALB,327
1,12,0,AVE,3391
1,12,0,DEL,2049
1,12,0,ILL,1337
1,12,1,ALB,278
1,12,1,AVE,3422
1,12,1,DEL,1891
1,12,1,ILL,1189
1,12,2,ALB,196
1,12,2,AVE,2456
1,12,2,DEL,1489
1,12,2,ILL,1072
1,12,3,ALB,147
1,12,3,AVE,1707
1,12,3,DEL,1170
1,12,3,ILL,679
1,12,4,ALB,97
1,12,4,AVE,1498
1,12,4,DEL,988
1,12,4,ILL,603
1,12,5,ALB,149
1,12,5,AVE,1872
1,12,5,DEL,1491
1,12,5,ILL,929
1,12,6,ALB,188
1,12,6,AVE,2418
1,12,6,DEL,1831
1,12,6,ILL,1161
1,12,7,ALB,173
1,12,7,AVE,2347
1,12,7,DEL,1734
1,12,7,ILL,1007
1,12,8,ALB,222
1,12,8,AVE,2441
1,12,8,DEL,1874
1,12,8,ILL,1057
1,12,9,ALB,256
1,12,9,AVE,3112
1,12,9,DEL,2337
1,12,9,ILL,1236
1,12,10,ALB,337
1,12,10,AVE,4239
1,12,10,DEL,2955
1,12,10,ILL,1550
1,12,11,ALB,421
1,12,11,AVE,4989
1,12,11,DEL,3344
1,12,11,ILL,1997
1,12,12,ALB,487
1,12,12,AVE,5518
1,12,12,DEL,3771
1,12,12,ILL,2457
1,12,13,ALB,432
1,12,13,AVE,4598
1,12,13,DEL,3325
1,12,13,ILL,2056
1,12,14,ALB,355
1,12,14,AVE,3502
1,12,14,DEL,2615
1,12,14,ILL,1745
1,12,15,ALB,351
1,12,15,AVE,3717
1,12,15,DEL,2626
1,12,15,ILL,1817
1,12,16,ALB,477
1,12,16,AVE,4781
1,12,16,DEL,2883
1,12,16,ILL,2304
1,12,17,ALB,530
1,12,17,AVE,5422
1,12,17,DEL,3461
1,12,17,ILL,2595
1,12,18,ALB,541
1,12,18,AVE,5897
1,12,18,DEL,3897
1,12,18,ILL,2957
1,12,19,ALB,611
1,12,19,AVE,6297
